,transforms
46,"[array([[-0.54895105,  0.83302021, -0.00348334, -0.104596  ],
       [-0.83584338, -0.55324101, -0.00287069,  0.426015  ],
       [-0.00431168,  0.00131352,  0.99998981,  0.235992  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
47,"[array([[-0.54913287,  0.83305418, -0.00337244, -0.1046    ],
       [-0.8357235 , -0.55319026, -0.00304298,  0.4260155 ],
       [-0.00439505,  0.00112609,  0.99998968,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
48,"[array([[-0.54904712,  0.83304443, -0.00335577, -0.104598  ],
       [-0.83578049, -0.55320481, -0.00290484,  0.4260155 ],
       [-0.00427032,  0.00118854,  0.99999015,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
49,"[array([[-0.54904703,  0.83299635, -0.00337892, -0.1045965 ],
       [-0.83578034, -0.55327721, -0.00293923,  0.4260145 ],
       [-0.00431178,  0.00118843,  0.99998997,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
50,"[array([[-0.54908527,  0.83303019, -0.00328086, -0.1045965 ],
       [-0.83575563, -0.55322639, -0.00290473,  0.426012  ],
       [-0.00422915,  0.0011261 ,  0.9999904 ,  0.235987  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
51,"[array([[-0.54896099,  0.83301082, -0.00332644, -0.1045955 ],
       [-0.83583685, -0.55325555, -0.00297343,  0.426013  ],
       [-0.00431143,  0.0011259 ,  0.99999005,  0.235991  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
52,"[array([[-0.54900842,  0.83302045, -0.00331027, -0.1045975 ],
       [-0.83580633, -0.55324093, -0.00283598,  0.426013  ],
       [-0.00418774,  0.00118855,  0.9999905 ,  0.235988  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
53,"[array([[-0.54896128,  0.83302024, -0.00338825, -0.104598  ],
       [-0.83583729, -0.55324103, -0.00278404,  0.426013  ],
       [-0.00418706,  0.00128224,  0.99999038,  0.2359895 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
54,"[array([[-0.54900927,  0.83301066, -0.00330979, -0.104598  ],
       [-0.83580577, -0.55325567, -0.00283555,  0.426013  ],
       [-0.00418711,  0.00118832,  0.9999905 ,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
55,"[array([[-0.54907514,  0.83308283, -0.00337874, -0.1045975 ],
       [-0.83576186, -0.55314698, -0.00293995,  0.4260115 ],
       [-0.00431233,  0.00118855,  0.99998997,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
56,"[array([[-0.54890219,  0.83310669, -0.00337857, -0.1045985 ],
       [-0.83587546, -0.55311104, -0.0029403 ,  0.426014  ],
       [-0.00431227,  0.00118841,  0.99998997,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
57,"[array([[-0.54910485,  0.83303008, -0.00334928, -0.104598  ],
       [-0.83574214, -0.55322655, -0.00300797,  0.426015  ],
       [-0.00435304,  0.00112597,  0.99998987,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
58,"[array([[-0.5491428 ,  0.83298691, -0.00339884, -0.1045985 ],
       [-0.83571698, -0.55329148, -0.00302532,  0.4260145 ],
       [-0.0043948 ,  0.00115732,  0.99998965,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
59,"[array([[-0.54889205,  0.83304446, -0.00339897, -0.104602  ],
       [-0.83588169, -0.55320483, -0.00302643,  0.4260155 ],
       [-0.00439545,  0.00115727,  0.99998964,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
60,"[array([[-0.54899933,  0.83298672, -0.00344103, -0.1045975 ],
       [-0.8358123 , -0.55329135, -0.00274965,  0.4260155 ],
       [-0.00418735,  0.00134499,  0.9999903 ,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
61,"[array([[-0.54915293,  0.83306853, -0.00337848, -0.104599  ],
       [-0.83571076, -0.55316852, -0.00293916,  0.426015  ],
       [-0.00431163,  0.00118867,  0.99998997,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
62,"[array([[-0.54901806,  0.83302532, -0.00335281, -0.104596  ],
       [-0.83579936, -0.55323366, -0.00295655,  0.4260145 ],
       [-0.00431188,  0.00115733,  0.99999001,  0.2359915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
63,"[array([[-0.5490653 ,  0.8330732 , -0.00340832, -0.1046    ],
       [-0.83576854, -0.55316135, -0.00287122,  0.4260145 ],
       [-0.00427111,  0.00125114,  0.99999007,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
