,transforms
66,"[array([[-0.98237468,  0.19474008, -0.01531372, -0.140711  ],
       [-0.18638964, -0.9808227 ,  0.00505914,  0.1717325 ],
       [-0.01410267,  0.00794534,  0.99986994,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
67,"[array([[-0.98239262,  0.19477648, -0.01524233, -0.1407095 ],
       [-0.18630141, -0.98081496,  0.00513753,  0.171732  ],
       [-0.01401864,  0.00800885,  0.99987063,  0.0937615 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
68,"[array([[-0.98238496,  0.19475207, -0.01524266, -0.140713  ],
       [-0.18634181, -0.9808198 ,  0.00513812,  0.1717335 ],
       [-0.01401853,  0.00800915,  0.99987062,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
69,"[array([[-0.98239669,  0.19469723, -0.01518267, -0.1407125 ],
       [-0.18628631, -0.98082965,  0.00527893,  0.1717335 ],
       [-0.01393381,  0.00813481,  0.9998708 ,  0.0937645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
70,"[array([[-0.98241315,  0.19471552, -0.01508259, -0.1407095 ],
       [-0.18620575, -0.9808268 ,  0.00520251,  0.171733  ],
       [-0.01385036,  0.0080406 ,  0.99987272,  0.09376   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
71,"[array([[-0.98238877,  0.19469753, -0.01527   , -0.1407085 ],
       [-0.18631872, -0.98083115,  0.00506799,  0.1717335 ],
       [-0.01405863,  0.0079449 ,  0.99987056,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
72,"[array([[-0.98238022,  0.19478272, -0.01521795, -0.1407075 ],
       [-0.18636688, -0.98081474,  0.00501346,  0.1717335 ],
       [-0.01401727,  0.00788248,  0.99987163,  0.0937605 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
73,"[array([[-0.9824032 ,  0.19476443, -0.01523492, -0.1407085 ],
       [-0.1862457 , -0.98081761,  0.0051064 ,  0.171732  ],
       [-0.01401759,  0.0079767 ,  0.9998709 ,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
74,"[array([[-0.98238013,  0.19463033, -0.01513406, -0.1407085 ],
       [-0.18637695, -0.9808432 ,  0.00525713,  0.171735  ],
       [-0.01388937,  0.008103  ,  0.99987165,  0.093764  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
75,"[array([[-0.98240669,  0.19461811, -0.0152049 , -0.140712  ],
       [-0.1862305 , -0.98084614,  0.00517952,  0.1717345 ],
       [-0.01397461,  0.0080405 ,  0.99987098,  0.093763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
