,transforms
44,"[array([[ 0.02396467,  0.99990783,  0.01051603, -0.070744  ],
       [-0.99960576, -0.00874338,  0.01488481,  0.149681  ],
       [ 0.01462936, -0.01038664,  0.99983391,  0.1117925 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
45,"[array([[ 0.02751178,  0.99991637,  0.01167682, -0.0715505 ],
       [-0.9995139 , -0.005734  ,  0.01499076,  0.1496795 ],
       [ 0.01466487, -0.01159198,  0.99981945,  0.111808  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
46,"[array([[ 0.04600825,  0.99983136,  0.01181148, -0.0741135 ],
       [-0.99885158,  0.01389732,  0.01392745,  0.149613  ],
       [ 0.01337026, -0.01200505,  0.99983324,  0.1118225 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
47,"[array([[ 0.04898136,  0.99980336,  0.01055393, -0.0741865 ],
       [-0.9987272 ,  0.01665564,  0.01256466,  0.1494885 ],
       [ 0.01203334, -0.01076258,  0.99986536,  0.1118125 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
48,"[array([[ 0.04700992,  0.99985831,  0.00882294, -0.0732615 ],
       [-0.99882916,  0.01423098,  0.01184582,  0.1494395 ],
       [ 0.01141843, -0.00899125,  0.99989091,  0.111763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
49,"[array([[ 0.04762946,  0.99985461,  0.00841755, -0.0734025 ],
       [-0.99880116,  0.01472974,  0.01171364,  0.1494105 ],
       [ 0.01129985, -0.00858976,  0.99989596,  0.1117575 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
50,"[array([[ 0.05958748,  0.99956301,  0.01162572, -0.0755935 ],
       [-0.99812064,  0.02700181,  0.01501939,  0.1495775 ],
       [ 0.014301  , -0.01202836,  0.99981961,  0.111796  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
51,"[array([[ 0.10538781,  0.99728299,  0.01306524, -0.0797085 ],
       [-0.99433747,  0.07229876,  0.01511292,  0.149598  ],
       [ 0.01365316, -0.01412521,  0.99980043,  0.11183   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
52,"[array([[ 0.21586136,  0.98279325,  0.01382669, -0.089872  ],
       [-0.97637686,  0.18401802,  0.01288383,  0.1481635 ],
       [ 0.00959654, -0.01596249,  0.9998214 ,  0.1117975 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
53,"[array([[ 0.27853694,  0.96888275,  0.01245636, -0.0945395 ],
       [-0.96036329,  0.24701691,  0.01499435,  0.146546  ],
       [ 0.01093254, -0.01577561,  0.99980999,  0.1117335 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
54,"[array([[ 0.27829761,  0.96913982,  0.0080253 , -0.092995  ],
       [-0.96042418,  0.24625074,  0.0144588 ,  0.146786  ],
       [ 0.01165475, -0.01133968,  0.99986326,  0.111611  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
55,"[array([[ 0.26645441,  0.97207802,  0.00165394, -0.088596  ],
       [-0.9637463 ,  0.23460211,  0.01494961,  0.1475645 ],
       [ 0.01396851, -0.00511555,  0.99988688,  0.1115615 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
56,"[array([[ 0.17771305,  0.98926381, -0.01349711, -0.0774675 ],
       [-0.98394225,  0.14570696,  0.01443485,  0.1498765 ],
       [ 0.01660491,  0.01125114,  0.99980471,  0.1120925 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
57,"[array([[ 0.12432263,  0.9955722 , -0.0207739 , -0.0722235 ],
       [-0.9921513 ,  0.09191566,  0.01090339,  0.1503295 ],
       [ 0.01340417,  0.01968514,  0.99972474,  0.1123365 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
58,"[array([[ 0.1417057 ,  0.99391213,  0.00617374, -0.0780235 ],
       [-0.98979836,  0.10989376,  0.01582293,  0.150586  ],
       [ 0.01478879, -0.00787613,  0.99985575,  0.111619  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
59,"[array([[ 0.21218562,  0.98360261,  0.01606844, -0.0880065 ],
       [-0.97718766,  0.17943955,  0.01272799,  0.148518  ],
       [ 0.00903004, -0.01809266,  0.99978988,  0.111876  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
60,"[array([[ 0.29804611,  0.96389472,  0.01541435, -0.0960585 ],
       [-0.95450877,  0.26562954,  0.01427063,  0.1455055 ],
       [ 0.00902925, -0.01865263,  0.99977935,  0.111846  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
61,"[array([[ 0.32689371,  0.95516893,  0.01405406, -0.098188  ],
       [-0.94499564,  0.29549261,  0.01663008,  0.1445355 ],
       [ 0.0111238 , -0.01834242,  0.99976293,  0.111826  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
62,"[array([[ 0.31456385,  0.9590937 ,  0.00339672, -0.0927215 ],
       [-0.94915907,  0.28299754,  0.01388256,  0.1457375 ],
       [ 0.01210951, -0.00718724,  0.99989786,  0.111513  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
63,"[array([[ 0.2540938 ,  0.97497937,  0.00105679, -0.084613  ],
       [-0.9670704 ,  0.22225116,  0.01530311,  0.1481005 ],
       [ 0.01453237, -0.00443201,  0.99988234,  0.1116005 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
64,"[array([[ 0.18767934,  0.98779675, -0.00389884, -0.0778745 ],
       [-0.98206566,  0.15574447,  0.0175665 ,  0.149687  ],
       [ 0.01798611,  0.00111556,  0.9998381 ,  0.111793  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
65,"[array([[ 0.10187749,  0.99755945, -0.00979138, -0.069606  ],
       [-0.99464172,  0.06928873,  0.01666194,  0.149957  ],
       [ 0.01757346,  0.00861461,  0.99981324,  0.111995  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
66,"[array([[ 0.04525278,  0.99985709, -0.01133708, -0.0637635 ],
       [-0.9988428 ,  0.01271885,  0.0157883 ,  0.149203  ],
       [ 0.01628614,  0.01113675,  0.99981108,  0.1120805 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
67,"[array([[ 0.0079354 ,  0.99960448, -0.01243658, -0.060368  ],
       [-0.99986051, -0.02504125,  0.01459733,  0.148304  ],
       [ 0.01469669,  0.01279955,  0.99981611,  0.1121545 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
68,"[array([[-0.00453404,  0.99917352, -0.01400729, -0.0591445 ],
       [-0.99987693, -0.03794683,  0.01508119,  0.14816   ],
       [ 0.015019  ,  0.01457109,  0.99978815,  0.11219   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
69,"[array([[-0.02153611,  0.99840631, -0.01613703, -0.057332  ],
       [-0.99964784, -0.05382286,  0.01585352,  0.1479615 ],
       [ 0.01550438,  0.01696894,  0.9997441 ,  0.1123035 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
70,"[array([[-0.00372621,  0.99924026,  0.01172949, -0.063513  ],
       [-0.99988076, -0.0373397 ,  0.01494123,  0.149096  ],
       [ 0.01498586, -0.0111647 ,  0.99981957,  0.111906  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
